algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
treebag	FS	MF	flat	TPR-TF	0.0	-0.03186216197703877
treebag	FS	MF	flat	ISO-TPR-TF	0.0	-0.02120370827973152
treebag	FS	MF	flat	GPAV	0.0	-0.0290279028677617
treebag	FS	MF	TPR-TF	ISO-TPR-TF	0.0	0.010658453697307247
treebag	FS	MF	TPR-TF	GPAV	0.008	0.0028342591092770843
treebag	FS	MF	TPR-TF	HTD	0.0	0.0360581835210208
treebag	FS	MF	ISO-TPR-TF	GPAV	0.0	-0.007824194588030164
treebag	FS	MF	ISO-TPR-TF	HTD	0.0	0.025399729823713538
treebag	FS	MF	GPAV	HTD	0.0	0.03322392441174369
xgbLinear	FS	MF	flat	TPR-TF	0.0	-0.020233221219153608
xgbLinear	FS	MF	flat	ISO-TPR-TF	0.0	-0.02191815703755662
xgbLinear	FS	MF	flat	GPAV	0.0	-0.026146076492491167
xgbLinear	FS	MF	TPR-TF	GPAV	0.00022	-0.005912855273337552
xgbLinear	FS	MF	TPR-TF	HTD	0.0	0.02473943304742868
xgbLinear	FS	MF	ISO-TPR-TF	HTD	0.0	0.026424368865831684
xgbLinear	FS	MF	GPAV	HTD	0.0	0.030652288320766236
adaboost	PCA	MF	flat	TPR-TF	0.0	-0.03388816034668964
adaboost	PCA	MF	flat	ISO-TPR-TF	0.0	-0.03390844124798173
adaboost	PCA	MF	flat	GPAV	0.0	-0.040036844788924136
adaboost	PCA	MF	TPR-TF	GPAV	0.0	-0.006148684442234499
adaboost	PCA	MF	TPR-TF	HTD	0.0	0.036648804174659586
adaboost	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.00612840354094243
adaboost	PCA	MF	ISO-TPR-TF	HTD	0.0	0.03666908507595165
adaboost	PCA	MF	GPAV	HTD	0.0	0.04279748861689409
C5.0	PCA	MF	flat	TPR-TF	0.0	-0.005326956196638807
C5.0	PCA	MF	flat	ISO-TPR-TF	0.0	-0.004870002880225541
C5.0	PCA	MF	flat	GPAV	0.0	-0.006892087111627891
C5.0	PCA	MF	flat	HTD	0.0	-0.0017469740614576453
C5.0	PCA	MF	TPR-TF	ISO-TPR-TF	4e-05	0.0004569533164132663
C5.0	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.002022084231402352
glmnet	PCA	MF	flat	TPR-TF	0.00136	2.8879892523788436e-05
glmnet	PCA	MF	flat	ISO-TPR-TF	0.00013	3.8365086683323906e-05
glmnet	PCA	MF	flat	HTD	0.00858	1.3636433307547394e-05
glmnet	PCA	MF	ISO-TPR-TF	GPAV	0.00352	-1.0225958165297208e-05
glmnet	PCA	MF	ISO-TPR-TF	HTD	0.00909	-2.4728653375776522e-05
kknn	PCA	MF	flat	TPR-TF	0.0	-0.014193283067388525
kknn	PCA	MF	flat	ISO-TPR-TF	0.0	-0.012246794597980285
kknn	PCA	MF	flat	GPAV	0.0	-0.012359013476973936
kknn	PCA	MF	flat	HTD	0.00057	0.006947661580087335
kknn	PCA	MF	TPR-TF	HTD	0.0	0.021140944647475846
kknn	PCA	MF	ISO-TPR-TF	HTD	0.0	0.019194456178067615
kknn	PCA	MF	GPAV	HTD	0.0	0.019306675057061275
lda	PCA	MF	flat	TPR-TF	0.0	0.015803172172523094
lda	PCA	MF	flat	ISO-TPR-TF	1e-05	0.015575820027637155
lda	PCA	MF	flat	GPAV	0.00093	0.014960187024483328
lda	PCA	MF	TPR-TF	ISO-TPR-TF	0.00121	-0.00022735214488593826
lda	PCA	MF	TPR-TF	GPAV	0.0001	-0.0008429851480397687
lda	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.0006156330031538298
LogitBoost	PCA	MF	flat	TPR-TF	0.0	-0.019937381226230098
LogitBoost	PCA	MF	flat	ISO-TPR-TF	0.0	-0.020376469281755925
LogitBoost	PCA	MF	flat	GPAV	0.0	-0.023200496898225002
LogitBoost	PCA	MF	TPR-TF	HTD	0.0	0.02220304690107583
LogitBoost	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.002824027616469063
LogitBoost	PCA	MF	ISO-TPR-TF	HTD	0.0	0.022642134956601636
LogitBoost	PCA	MF	GPAV	HTD	0.0	0.02546616257307072
mlp	PCA	MF	flat	ISO-TPR-TF	2e-05	0.0037898452903229293
mlp	PCA	MF	flat	HTD	0.0	-0.0016668007474206685
mlp	PCA	MF	TPR-TF	ISO-TPR-TF	0.0	0.0032660019275232714
mlp	PCA	MF	TPR-TF	GPAV	1e-05	0.0016761843240322251
mlp	PCA	MF	TPR-TF	HTD	0.0	-0.0021906441102203253
mlp	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.001589817603491045
mlp	PCA	MF	ISO-TPR-TF	HTD	0.0	-0.005456646037743597
mlp	PCA	MF	GPAV	HTD	0.0	-0.0038668284342525503
naive_bayes	PCA	MF	flat	GPAV	0.00023	0.0032710688981037756
naive_bayes	PCA	MF	TPR-TF	GPAV	0.0	0.001357080377425792
naive_bayes	PCA	MF	TPR-TF	HTD	3e-05	-0.0008409616238776574
naive_bayes	PCA	MF	ISO-TPR-TF	GPAV	1e-05	0.0014424757217409167
naive_bayes	PCA	MF	ISO-TPR-TF	HTD	0.00329	-0.0007555662795625322
naive_bayes	PCA	MF	GPAV	HTD	0.0	-0.0021980420013034507
ranger	PCA	MF	flat	TPR-TF	0.0	-0.007043336327749157
ranger	PCA	MF	flat	ISO-TPR-TF	0.00044	-0.004319157340139648
ranger	PCA	MF	flat	GPAV	0.0	-0.005569333669661147
ranger	PCA	MF	TPR-TF	ISO-TPR-TF	3e-05	0.0027241789876095066
ranger	PCA	MF	TPR-TF	GPAV	0.00326	0.0014740026580880084
ranger	PCA	MF	TPR-TF	HTD	7e-05	0.007175174667748006
ranger	PCA	MF	ISO-TPR-TF	GPAV	3e-05	-0.0012501763295214982
ranger	PCA	MF	GPAV	HTD	0.00799	0.005701172009659996
svmLinear2	PCA	MF	flat	TPR-TF	7e-05	0.0014481586549479847
svmLinear2	PCA	MF	flat	ISO-TPR-TF	0.0	0.0020916260489957208
svmLinear2	PCA	MF	flat	GPAV	0.0	0.0021401054602340065
svmLinear2	PCA	MF	flat	HTD	4e-05	-0.0014472228803731617
svmLinear2	PCA	MF	TPR-TF	ISO-TPR-TF	0.0007	0.0006434673940477363
svmLinear2	PCA	MF	TPR-TF	GPAV	3e-05	0.0006919468052860237
svmLinear2	PCA	MF	TPR-TF	HTD	0.0	-0.002895381535321147
svmLinear2	PCA	MF	ISO-TPR-TF	HTD	0.0	-0.0035388489293688833
svmLinear2	PCA	MF	GPAV	HTD	0.0	-0.003587328340607168
treebag	PCA	MF	flat	TPR-TF	0.0	-0.03233526830763859
treebag	PCA	MF	flat	ISO-TPR-TF	0.0	-0.019334033576359506
treebag	PCA	MF	flat	GPAV	0.0	-0.02564546839336033
treebag	PCA	MF	flat	HTD	0.0	-0.02549389565195352
treebag	PCA	MF	TPR-TF	ISO-TPR-TF	0.0	0.013001234731279095
treebag	PCA	MF	TPR-TF	GPAV	0.0	0.0066897999142782535
treebag	PCA	MF	TPR-TF	HTD	0.00013	0.006841372655685044
treebag	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.006311434817000827
xgbLinear	PCA	MF	flat	TPR-TF	0.0	-0.014691784451838712
xgbLinear	PCA	MF	flat	ISO-TPR-TF	0.0	-0.009121839697067341
xgbLinear	PCA	MF	flat	GPAV	0.0	-0.010077369427812465
xgbLinear	PCA	MF	flat	HTD	1e-05	-0.008192991963740874
xgbLinear	PCA	MF	TPR-TF	ISO-TPR-TF	0.0	0.005569944754771372
xgbLinear	PCA	MF	TPR-TF	GPAV	0.00087	0.00461441502402625
xgbLinear	PCA	MF	TPR-TF	HTD	5e-05	0.006498792488097835
xgbLinear	PCA	MF	ISO-TPR-TF	GPAV	2e-05	-0.0009555297307451241
adaboost	FS	CC	flat	TPR-TF	0.0	-0.026292557553963213
adaboost	FS	CC	flat	ISO-TPR-TF	0.0	-0.049984646781156584
adaboost	FS	CC	flat	GPAV	0.0	-0.04755030192751615
adaboost	FS	CC	flat	HTD	0.0	0.03276549473881214
adaboost	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.023692089227193385
adaboost	FS	CC	TPR-TF	GPAV	0.0	-0.021257744373552944
adaboost	FS	CC	TPR-TF	HTD	0.0	0.059058052292775366
adaboost	FS	CC	ISO-TPR-TF	HTD	0.0	0.08275014151996873
adaboost	FS	CC	GPAV	HTD	0.0	0.08031579666632828
C5.0	FS	CC	flat	TPR-TF	0.0	-0.03500240513859983
C5.0	FS	CC	flat	ISO-TPR-TF	0.0	-0.031068220214530207
C5.0	FS	CC	flat	GPAV	0.0	-0.04333538715469229
C5.0	FS	CC	TPR-TF	HTD	0.0	0.02281311200687208
C5.0	FS	CC	ISO-TPR-TF	GPAV	0.0	-0.012267166940162059
C5.0	FS	CC	ISO-TPR-TF	HTD	0.0	0.018878927082802473
C5.0	FS	CC	GPAV	HTD	0.0	0.03114609402296452
kknn	FS	CC	flat	TPR-TF	0.0	-0.04171850453353
kknn	FS	CC	flat	ISO-TPR-TF	0.0	-0.043160418298418914
kknn	FS	CC	flat	GPAV	0.0	-0.04715114114163876
kknn	FS	CC	flat	HTD	0.0	0.042547212881340266
kknn	FS	CC	TPR-TF	GPAV	0.0	-0.005432636608108747
kknn	FS	CC	TPR-TF	HTD	0.0	0.0842657174148703
kknn	FS	CC	ISO-TPR-TF	GPAV	8e-05	-0.003990722843219824
kknn	FS	CC	ISO-TPR-TF	HTD	0.0	0.08570763117975913
kknn	FS	CC	GPAV	HTD	0.0	0.089698354022979
lda	FS	CC	flat	TPR-TF	0.0	-0.026971128667209493
lda	FS	CC	flat	ISO-TPR-TF	0.0	-0.03254034655587528
lda	FS	CC	flat	GPAV	0.0	-0.03164709487649877
lda	FS	CC	flat	HTD	0.0	-0.019923638167625067
lda	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.005569217888665797
lda	FS	CC	TPR-TF	GPAV	0.0	-0.00467596620928928
lda	FS	CC	TPR-TF	HTD	0.0	0.007047490499584437
lda	FS	CC	ISO-TPR-TF	HTD	0.0	0.012616708388250237
lda	FS	CC	GPAV	HTD	0.0	0.011723456708873724
LogitBoost	FS	CC	flat	TPR-TF	0.0	-0.034021252264013334
LogitBoost	FS	CC	flat	ISO-TPR-TF	0.0	-0.04240616013902497
LogitBoost	FS	CC	flat	GPAV	0.0	-0.04042512804360482
LogitBoost	FS	CC	flat	HTD	1e-05	0.012731252359183116
LogitBoost	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.008384907875011631
LogitBoost	FS	CC	TPR-TF	GPAV	0.0	-0.006403875779591485
LogitBoost	FS	CC	TPR-TF	HTD	0.0	0.04675250462319641
LogitBoost	FS	CC	ISO-TPR-TF	HTD	0.0	0.05513741249820808
LogitBoost	FS	CC	GPAV	HTD	0.0	0.05315638040278791
mlp	FS	CC	flat	TPR-TF	0.0	-0.012857503233324545
mlp	FS	CC	flat	ISO-TPR-TF	0.0	-0.02148565413438606
mlp	FS	CC	flat	GPAV	0.0	-0.022257715264223276
mlp	FS	CC	flat	HTD	0.0	0.038078111175633415
mlp	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.008628150901061513
mlp	FS	CC	TPR-TF	GPAV	0.0	-0.009400212030898731
mlp	FS	CC	TPR-TF	HTD	0.0	0.05093561440895793
mlp	FS	CC	ISO-TPR-TF	HTD	0.0	0.059563765310019445
mlp	FS	CC	GPAV	HTD	0.0	0.06033582643985666
naive_bayes	FS	CC	flat	TPR-TF	0.0	-0.012296938327373622
naive_bayes	FS	CC	flat	ISO-TPR-TF	0.0	-0.014191922373789303
naive_bayes	FS	CC	flat	GPAV	0.0	-0.016129829238331908
naive_bayes	FS	CC	flat	HTD	0.0	-0.008984601802530351
naive_bayes	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.001894984046415687
naive_bayes	FS	CC	TPR-TF	GPAV	0.0	-0.003832890910958293
naive_bayes	FS	CC	TPR-TF	HTD	0.0	0.0033123365248432595
naive_bayes	FS	CC	ISO-TPR-TF	GPAV	0.0	-0.0019379068645426088
naive_bayes	FS	CC	ISO-TPR-TF	HTD	0.0	0.005207320571258949
naive_bayes	FS	CC	GPAV	HTD	0.0	0.007145227435801554
ranger	FS	CC	flat	TPR-TF	0.00081	-0.005376728542719949
ranger	FS	CC	flat	ISO-TPR-TF	0.0	-0.018762361442717944
ranger	FS	CC	flat	GPAV	0.0	-0.017709460221488456
ranger	FS	CC	flat	HTD	0.0	0.03805768420929631
ranger	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.013385632899997982
ranger	FS	CC	TPR-TF	GPAV	0.0	-0.012332731678768513
ranger	FS	CC	TPR-TF	HTD	0.0	0.0434344127520163
ranger	FS	CC	ISO-TPR-TF	HTD	0.0	0.056820045652014255
ranger	FS	CC	GPAV	HTD	0.0	0.055767144430784794
svmLinear2	FS	CC	flat	TPR-TF	0.0	-0.036957394627382276
svmLinear2	FS	CC	flat	ISO-TPR-TF	0.0	-0.03393089954685828
svmLinear2	FS	CC	flat	GPAV	0.0	-0.037161215779483205
svmLinear2	FS	CC	flat	HTD	0.00474	0.011775639432408766
svmLinear2	FS	CC	TPR-TF	HTD	0.0	0.04873303405979106
svmLinear2	FS	CC	ISO-TPR-TF	GPAV	4e-05	-0.003230316232624955
svmLinear2	FS	CC	ISO-TPR-TF	HTD	0.0	0.045706538979267027
svmLinear2	FS	CC	GPAV	HTD	0.0	0.048936855211892026
treebag	FS	CC	flat	TPR-TF	0.0	-0.037825093693456185
treebag	FS	CC	flat	ISO-TPR-TF	0.0	-0.04176044898591894
treebag	FS	CC	flat	GPAV	0.0	-0.04654868444767705
treebag	FS	CC	flat	HTD	0.0	0.02345854746361145
treebag	FS	CC	TPR-TF	GPAV	0.0	-0.008723590754220838
treebag	FS	CC	TPR-TF	HTD	0.0	0.061283641157067616
treebag	FS	CC	ISO-TPR-TF	GPAV	0.00015	-0.004788235461758098
treebag	FS	CC	ISO-TPR-TF	HTD	0.0	0.06521899644953036
treebag	FS	CC	GPAV	HTD	0.0	0.07000723191128849
xgbLinear	FS	CC	flat	TPR-TF	0.0	-0.013439628733678018
xgbLinear	FS	CC	flat	ISO-TPR-TF	0.0	-0.025051482298905886
xgbLinear	FS	CC	flat	GPAV	0.0	-0.023882404917159514
xgbLinear	FS	CC	flat	HTD	0.00029	0.019529689652889985
xgbLinear	FS	CC	TPR-TF	ISO-TPR-TF	0.0	-0.011611853565227854
xgbLinear	FS	CC	TPR-TF	GPAV	0.0	-0.01044277618348151
xgbLinear	FS	CC	TPR-TF	HTD	0.0	0.03296931838656799
xgbLinear	FS	CC	ISO-TPR-TF	HTD	0.0	0.04458117195179589
xgbLinear	FS	CC	GPAV	HTD	0.0	0.04341209457004949
adaboost	PCA	CC	flat	TPR-TF	0.0	-0.029007956949753735
adaboost	PCA	CC	flat	ISO-TPR-TF	0.0	-0.032971012746361134
adaboost	PCA	CC	flat	GPAV	0.0	-0.034477971659549564
adaboost	PCA	CC	flat	HTD	0.0	0.007764907733452446
adaboost	PCA	CC	TPR-TF	ISO-TPR-TF	0.00045	-0.0039630557966073955
adaboost	PCA	CC	TPR-TF	GPAV	0.0	-0.00547001470979582
adaboost	PCA	CC	TPR-TF	HTD	0.0	0.03677286468320618
adaboost	PCA	CC	ISO-TPR-TF	GPAV	0.00526	-0.001506958913188426
adaboost	PCA	CC	ISO-TPR-TF	HTD	0.0	0.04073592047981358
adaboost	PCA	CC	GPAV	HTD	0.0	0.042242879393002024
C5.0	PCA	CC	flat	TPR-TF	0.0	-0.010369474635214265
C5.0	PCA	CC	flat	ISO-TPR-TF	0.0	0.0014297141865989111
C5.0	PCA	CC	flat	GPAV	0.0	-0.0009271653906722714
C5.0	PCA	CC	flat	HTD	0.0	-0.0042381928533311046
C5.0	PCA	CC	TPR-TF	ISO-TPR-TF	0.0	0.011799188821813172
C5.0	PCA	CC	TPR-TF	GPAV	0.0	0.009442309244541983
C5.0	PCA	CC	TPR-TF	HTD	0.0	0.006131281781883145
C5.0	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0023568795772711806
C5.0	PCA	CC	ISO-TPR-TF	HTD	0.0	-0.005667907039930013
C5.0	PCA	CC	GPAV	HTD	0.00399	-0.003311027462658834
glmnet	PCA	CC	ISO-TPR-TF	GPAV	0.00377	-6.27047451840046e-07
kknn	PCA	CC	flat	TPR-TF	0.0	-0.00678951828311806
kknn	PCA	CC	flat	ISO-TPR-TF	0.0	-0.004790846883998087
kknn	PCA	CC	flat	GPAV	0.0	-0.007292820123404012
kknn	PCA	CC	flat	HTD	2e-05	0.007355743209725269
kknn	PCA	CC	TPR-TF	ISO-TPR-TF	0.0009	0.001998671399119972
kknn	PCA	CC	TPR-TF	HTD	0.0	0.014145261492843331
kknn	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.002501973239405927
kknn	PCA	CC	ISO-TPR-TF	HTD	0.0	0.012146590093723358
kknn	PCA	CC	GPAV	HTD	0.0	0.014648563333129286
lda	PCA	CC	TPR-TF	ISO-TPR-TF	0.00021	0.0011484822378285211
lda	PCA	CC	TPR-TF	HTD	0.0	-0.0011350645668944915
lda	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0010133862905789628
lda	PCA	CC	ISO-TPR-TF	HTD	1e-05	-0.0022835468047230135
lda	PCA	CC	GPAV	HTD	0.00158	-0.00127016051414405
LogitBoost	PCA	CC	flat	TPR-TF	0.0	-0.01226261507544523
LogitBoost	PCA	CC	flat	ISO-TPR-TF	0.0	-0.016065156290453013
LogitBoost	PCA	CC	flat	GPAV	0.0	-0.01654846642533061
LogitBoost	PCA	CC	TPR-TF	GPAV	0.0	-0.00428585134988538
LogitBoost	PCA	CC	TPR-TF	HTD	0.0	0.012832403735253248
LogitBoost	PCA	CC	ISO-TPR-TF	GPAV	0.00194	-0.0004833101348775931
LogitBoost	PCA	CC	ISO-TPR-TF	HTD	0.0	0.016634944950261032
LogitBoost	PCA	CC	GPAV	HTD	0.0	0.017118255085138624
mlp	PCA	CC	flat	TPR-TF	0.0	-0.006938291980230583
mlp	PCA	CC	flat	ISO-TPR-TF	3e-05	0.011370794062782727
mlp	PCA	CC	flat	GPAV	0.00375	0.002191729715242775
mlp	PCA	CC	flat	HTD	0.0	-0.006410148755123392
mlp	PCA	CC	TPR-TF	ISO-TPR-TF	0.0	0.0183090860430133
mlp	PCA	CC	TPR-TF	GPAV	0.0	0.00913002169547336
mlp	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.009179064347539947
mlp	PCA	CC	ISO-TPR-TF	HTD	0.0	-0.017780942817906126
mlp	PCA	CC	GPAV	HTD	0.0	-0.00860187847036617
naive_bayes	PCA	CC	flat	HTD	0.0	-0.002293033319358041
naive_bayes	PCA	CC	TPR-TF	ISO-TPR-TF	0.0099	0.0011981030346036113
naive_bayes	PCA	CC	TPR-TF	GPAV	0.00196	0.0013476255992876936
naive_bayes	PCA	CC	TPR-TF	HTD	0.0	-0.002246697797983998
naive_bayes	PCA	CC	ISO-TPR-TF	HTD	2e-05	-0.0034448008325876065
naive_bayes	PCA	CC	GPAV	HTD	0.0	-0.003594323397271691
ranger	PCA	CC	flat	TPR-TF	0.0	-0.00468866808390595
ranger	PCA	CC	flat	ISO-TPR-TF	0.0	-0.004393728971818142
ranger	PCA	CC	flat	GPAV	0.0	-0.006091392905027192
ranger	PCA	CC	TPR-TF	HTD	0.0	0.010080078426826244
ranger	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0016976639332090457
ranger	PCA	CC	ISO-TPR-TF	HTD	0.00062	0.009785139314738431
ranger	PCA	CC	GPAV	HTD	0.0	0.011482803247947482
svmLinear2	PCA	CC	flat	TPR-TF	0.00023	0.0024091199159511846
svmLinear2	PCA	CC	flat	ISO-TPR-TF	0.0	0.002916312374104109
svmLinear2	PCA	CC	flat	GPAV	0.0	0.0021245429915724796
svmLinear2	PCA	CC	flat	HTD	0.00488	0.00019283983189531318
svmLinear2	PCA	CC	TPR-TF	GPAV	0.00756	-0.0002845769243787023
svmLinear2	PCA	CC	TPR-TF	HTD	0.0	-0.0022162800840558696
svmLinear2	PCA	CC	ISO-TPR-TF	HTD	0.0	-0.002723472542208796
svmLinear2	PCA	CC	GPAV	HTD	0.0	-0.0019317031596771672
treebag	PCA	CC	flat	TPR-TF	0.0	-0.020095919714981085
treebag	PCA	CC	flat	ISO-TPR-TF	0.0	-0.014033194090726439
treebag	PCA	CC	flat	GPAV	0.0	-0.020340850435135244
treebag	PCA	CC	flat	HTD	0.0003	-0.00729875060378846
treebag	PCA	CC	TPR-TF	ISO-TPR-TF	0.0	0.006062725624254643
treebag	PCA	CC	TPR-TF	HTD	0.0	0.01279716911119263
treebag	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.006307656344408798
treebag	PCA	CC	ISO-TPR-TF	HTD	0.0	0.006734443486937987
treebag	PCA	CC	GPAV	HTD	0.0	0.013042099831346791
xgbLinear	PCA	CC	flat	TPR-TF	0.0	-0.011556066364101726
xgbLinear	PCA	CC	flat	ISO-TPR-TF	0.0	-0.010117302874876348
xgbLinear	PCA	CC	flat	GPAV	0.0	-0.012502479910216222
xgbLinear	PCA	CC	TPR-TF	ISO-TPR-TF	0.00019	0.00143876348922538
xgbLinear	PCA	CC	TPR-TF	HTD	0.0	0.0081108336754302
xgbLinear	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0023851770353398643
xgbLinear	PCA	CC	ISO-TPR-TF	HTD	0.0	0.006672070186204815
xgbLinear	PCA	CC	GPAV	HTD	0.0	0.009057247221544678
